frame_number,landmark,x,y,z
0,NOSE,0.5094763040542603,0.861425518989563,-0.48371174931526184
0,LEFT_EYE_INNER,0.4916091859340668,0.8793331384658813,-0.5099099278450012
0,LEFT_EYE,0.4821498692035675,0.8794116377830505,-0.5100682973861694
0,LEFT_EYE_OUTER,0.47155115008354187,0.8797276020050049,-0.5103346109390259
0,RIGHT_EYE_INNER,0.5099012851715088,0.8794519901275635,-0.4511646628379822
0,RIGHT_EYE,0.5134769082069397,0.8795483112335205,-0.4511151909828186
0,RIGHT_EYE_OUTER,0.5169432163238525,0.8796847462654114,-0.45122864842414856
0,LEFT_EAR,0.4237367510795593,0.87410569190979,-0.5270707607269287
0,RIGHT_EAR,0.48288121819496155,0.8728313446044922,-0.26941439509391785
0,MOUTH_LEFT,0.4818856716156006,0.8425990343093872,-0.48222774267196655
0,MOUTH_RIGHT,0.5039325952529907,0.8413431644439697,-0.4073765277862549
0,LEFT_SHOULDER,0.337907075881958,0.7729318737983704,-0.6535643935203552
0,RIGHT_SHOULDER,0.4637739956378937,0.7681035995483398,0.022992778569459915
0,LEFT_ELBOW,0.35137176513671875,0.6220476031303406,-0.6238627433776855
0,RIGHT_ELBOW,0.48319074511528015,0.6466481685638428,0.19499880075454712
0,LEFT_WRIST,0.44348832964897156,0.4971156418323517,-0.5211403369903564
0,RIGHT_WRIST,0.5298557877540588,0.5646738409996033,0.11214423924684525
0,LEFT_PINKY,0.4534195363521576,0.4585365951061249,-0.5809458494186401
0,RIGHT_PINKY,0.5437059998512268,0.5361679792404175,0.10956186056137085
0,LEFT_INDEX,0.48782026767730713,0.46445977687835693,-0.5972619652748108
0,RIGHT_INDEX,0.5422127842903137,0.5359742641448975,0.03814639523625374
0,LEFT_THUMB,0.4877709150314331,0.48041248321533203,-0.5175928473472595
0,RIGHT_THUMB,0.5348498821258545,0.5392827987670898,0.07797201722860336
0,LEFT_HIP,0.40620216727256775,0.5334591269493103,-0.1927722841501236
0,RIGHT_HIP,0.46577614545822144,0.5381906628608704,0.19275633990764618
0,LEFT_KNEE,0.41712114214897156,0.3629012703895569,-0.12641482055187225
0,RIGHT_KNEE,0.4863249659538269,0.38693487644195557,0.33311891555786133
0,LEFT_ANKLE,0.4195670485496521,0.19100546836853027,0.042011406272649765
0,RIGHT_ANKLE,0.46168193221092224,0.26282891631126404,0.5664079785346985
0,LEFT_HEEL,0.3996080756187439,0.1653563678264618,0.044108204543590546
0,RIGHT_HEEL,0.4370802044868469,0.22041788697242737,0.58073890209198
0,LEFT_FOOT_INDEX,0.5411734580993652,0.15778234601020813,-0.17016418278217316
0,RIGHT_FOOT_INDEX,0.5715619921684265,0.20865103602409363,0.4523714780807495
1,NOSE,0.5060857534408569,0.8619077205657959,-0.48256903886795044
1,LEFT_EYE_INNER,0.4886155426502228,0.8798269033432007,-0.5099443793296814
1,LEFT_EYE,0.47864651679992676,0.8801733255386353,-0.5101064443588257
1,LEFT_EYE_OUTER,0.4677772521972656,0.8807392120361328,-0.5103696584701538
1,RIGHT_EYE_INNER,0.5078604221343994,0.879472017288208,-0.4503782391548157
1,RIGHT_EYE,0.5119380950927734,0.8795353174209595,-0.4502905607223511
1,RIGHT_EYE_OUTER,0.5156911611557007,0.8795657753944397,-0.4503903090953827
1,LEFT_EAR,0.42278191447257996,0.8752490282058716,-0.5265582799911499
1,RIGHT_EAR,0.48315897583961487,0.872831404209137,-0.24914194643497467
1,MOUTH_LEFT,0.4776935279369354,0.843409538269043,-0.47878655791282654
1,MOUTH_RIGHT,0.5013902187347412,0.8416582942008972,-0.39845943450927734
1,LEFT_SHOULDER,0.33800333738327026,0.7760862708091736,-0.6586864590644836
1,RIGHT_SHOULDER,0.46349772810935974,0.7678394913673401,0.08110782504081726
1,LEFT_ELBOW,0.35134172439575195,0.6267662048339844,-0.6361076831817627
1,RIGHT_ELBOW,0.4800054430961609,0.6450700163841248,0.254209041595459
1,LEFT_WRIST,0.44299373030662537,0.4958985447883606,-0.5333802103996277
1,RIGHT_WRIST,0.5305273532867432,0.5488727688789368,0.17545516788959503
1,LEFT_PINKY,0.45343267917633057,0.45787662267684937,-0.5876979827880859
1,RIGHT_PINKY,0.5467100143432617,0.5167360305786133,0.1730652004480362
1,LEFT_INDEX,0.48502904176712036,0.46329742670059204,-0.6174535751342773
1,RIGHT_INDEX,0.5440062880516052,0.5151354670524597,0.10007495433092117
1,LEFT_THUMB,0.48222848773002625,0.4791402518749237,-0.5343670845031738
1,RIGHT_THUMB,0.5349856615066528,0.5251840353012085,0.1386673003435135
1,LEFT_HIP,0.4040871858596802,0.5207759141921997,-0.20952224731445312
1,RIGHT_HIP,0.46546199917793274,0.523970365524292,0.2093024104833603
1,LEFT_KNEE,0.3956546485424042,0.32911574840545654,-0.20560692250728607
1,RIGHT_KNEE,0.4927181601524353,0.3600075840950012,0.45638012886047363
1,LEFT_ANKLE,0.39161619544029236,0.1490137279033661,-0.12369939684867859
1,RIGHT_ANKLE,0.47099268436431885,0.22797156870365143,0.7880558371543884
1,LEFT_HEEL,0.35928210616111755,0.11790938675403595,-0.1337994486093521
1,RIGHT_HEEL,0.44850093126296997,0.203321635723114,0.8091328144073486
1,LEFT_FOOT_INDEX,0.5359107255935669,0.10806294530630112,-0.4142467677593231
1,RIGHT_FOOT_INDEX,0.5850651264190674,0.19674691557884216,0.7011410593986511
2,NOSE,0.5019763708114624,0.861826479434967,-0.5404819250106812
2,LEFT_EYE_INNER,0.4826609790325165,0.8797139525413513,-0.5666431188583374
